"CASE_GUID","ORG_STEXT","CNT_STEXT","CREATE_DATE","CREATE_TIME","UPDATE_DATE","UPDATE_TIME","UPDATE_BY","CASE_TITLE","STAT_LINE","PRIORITY","PROCESSOR","RESPONSIBLE","CMNT","EXCEPTION_LVL"
"1F08BAFD19971EEEB1A2F0154E07198B","SAP Systems","AI06.01.08 Change control parameters","2024-02-06","17:45:23","2024-02-06","17:45:23","WF-PCBATCH","GRSCLNT100 : ZBR_AI06.01.08_DD09L_AGC_Table_Log_BP_VC","Submitted",,,"WF-PCBATCH",,"Job Step  00000219  Monitoring / Automated Test  2   Business Rule : Business Rule for AI06.01.08 Change control parameters for Table Logging Check of AGC tables for BP systems. High  2   medium  0   Low  0"
"1F08BAFD19971EEEB1A2F0154E07B98B","SAP Systems","AI06.01.08 Change control parameters","2024-02-06","17:45:23","2024-02-06","17:45:23","WF-PCBATCH","NR6CLNT100 : ZBR_AI06.01.08_DD09L_AGC_Table_Log_BP_VC","Submitted",,,"WF-PCBATCH",,"Job Step  00000310  Monitoring / Automated Test  2   Business Rule : Business Rule for AI06.01.08 Change control parameters for Table Logging Check of AGC tables for BP systems. High  2   medium  0   Low  0"
"1F08BAFD19971EEEB1A2F0154E08598B","SAP Systems","AI06.01.08 Change control parameters","2024-02-06","17:45:23","2024-02-06","17:45:23","WF-PCBATCH","WRCCLNT100 : ZBR_AI06.01.08_DD09L_AGC_Table_Log_BP_VC","Submitted",,,"WF-PCBATCH",,"Job Step  00001948  Monitoring / Automated Test  1   Business Rule : Business Rule for AI06.01.08 Change control parameters for Table Logging Check of AGC tables for BP systems. High  1   medium  0   Low  0"
"1F08BAFD19971EEEB1A2F0154E08F98B","SAP Systems","AI06.01.08 Change control parameters","2024-02-06","17:45:23","2024-02-06","17:45:23","WF-PCBATCH","WRZCLNT100 : ZBR_AI06.01.08_DD09L_AGC_Table_Log_BP_VC","Submitted",,,"WF-PCBATCH",,"Job Step  00002676  Monitoring / Automated Test  1   Business Rule : Business Rule for AI06.01.08 Change control parameters for Table Logging Check of AGC tables for BP systems. High  1   medium  0   Low  0"
"1F08BAFD19971EEEB1A2F0154E09998B","SAP Systems","AI06.01.08 Change control parameters","2024-02-06","17:45:24","2024-02-06","17:45:24","WF-PCBATCH","ZRGCLNT100 : ZBR_AI06.01.08_DD09L_AGC_Table_Log_BP_VC","Submitted",,,"WF-PCBATCH",,"Job Step  00002767  Monitoring / Automated Test  1   Business Rule : Business Rule for AI06.01.08 Change control parameters for Table Logging Check of AGC tables for BP systems. High  1   medium  0   Low  0"
"1F08BAFD19971EDEB1A441A683C005EC","WRW","DS05.02.18 Application default accounts","2024-02-06","19:00:53","2024-02-06","19:00:53","WF-PCBATCH","WRWCLNT100 : ZBR_DS05.02.18_RSUSR003_WRW 100","Submitted",,,"WF-PCBATCH",,"Job Step  00000128  Monitoring / Automated Test  0   Business Rule : Business rule for Application Default account(s) are disabled and/or the default passwords are changed High  0   medium  0   Low  0"
"1F08BAFD19971EDEB1A45C4C72F5C6E6","WRL","DS05.02.18 Application default accounts","2024-02-06","19:06:51","2024-02-06","19:06:51","WF-PCBATCH","WRLCLNT100 : ZBR_DS05.02.18_RSUSR003_WRL","Submitted",,,"WF-PCBATCH",,"Job Step  00000037  Monitoring / Automated Test  0   Business Rule : Business Rule for Application default account(s) are disabled and/or the default passwords are changed High  0   medium  0   Low  0"
"1F08BAFD19971EDEB1A47725DD8907D9","PRO","DS05.02.18 Application default accounts","2024-02-06","19:12:51","2024-02-06","19:12:51","WF-PCBATCH","PROCLNT100 : ZBR_DS05.02.18_RSUSR003_PRO100_NEW","Submitted",,,"WF-PCBATCH",,"Job Step  00000128  Monitoring / Automated Test  0   Business Rule : Business Rule for report RSUSR003

TASK000006820305 High  0   medium  0   Low  0"
"1F08BAFD19971EDEB1A491EF666FC91F","PRV","DS05.02.18 Application default accounts","2024-02-06","19:18:51","2024-02-06","19:18:51","WF-PCBATCH","PRVCLNT100 : ZBR_DS05.02.18_RSUSR003_PRV 100_N","Submitted",,,"WF-PCBATCH",,"Job Step  00000128  Monitoring / Automated Test  0   Business Rule : Business rule for Application default account(s) are disabled and/or the default passwords are changed
Created this as a new BR as the old  is failing due to fields issue in PRV

Reference Ticket Number - TASK000008706850 High  0   medium  0   Low  0"
"1F08BAFD19971EDEB1A4ACCF7DFF0A12","PRZ","DS05.02.18 Application default accounts","2024-02-06","19:24:52","2024-02-06","19:24:52","WF-PCBATCH","PRZCLNT800 : ZBR_DS05.02.18_RSUSR003_PRZ 800","Submitted",,,"WF-PCBATCH",,"Job Step  00000128  Monitoring / Automated Test  0   Business Rule : Business Rule for Application default account(s) are disabled and/or the default passwords are changed High  0   medium  0   Low  0"
